epoch,train_loss,val_loss,train_tok_acc,val_tok_acc,train_sent_acc,val_sent_acc
1,2.5141706228256226,2.3388367677346253,0.20600236071065828,0.22932807351873122,0.0,0.0
2,2.0125822479384285,1.3125246090766711,0.33359430403333123,0.5656762591449048,0.029532474066529955,0.24625697426306895
3,0.9399282429899488,0.688308352079147,0.6756038380399393,0.7589923545848715,0.2622682171208518,0.3038899279557742
4,0.6202487216676984,0.5143548846244812,0.7795166650830708,0.8159463190159381,0.34176159271172113,0.3929917499040946
5,0.4945349830389023,0.4235850901175768,0.8228913600814808,0.8496853625867985,0.4013912730557578,0.44079044996163785
6,0.4186841733966555,0.3684857800984994,0.8504349648657228,0.8689472119130678,0.4548898329053606,0.4904105831415225
7,0.36488043895789557,0.32005850397623503,0.8698540838131331,0.8873279270829042,0.50130097925663,0.5601184123601669
8,0.32365449454103196,0.28930874741994417,0.8850295783049569,0.8979650284383981,0.5462693692956652,0.6036547361276089
9,0.29256646037101747,0.26169680517453414,0.8962454788004327,0.9073923329378587,0.5851614342417035,0.6275596511669648
10,0.2662824700559889,0.24091116319864225,0.9055303048873252,0.9150748920461191,0.620808755670275,0.665049264064202
11,0.24465065730469568,0.2206862251728009,0.9131454259421264,0.9221338931359296,0.6482708813462938,0.6848735763476446
12,0.22751539051532746,0.20704504618277916,0.9190269150427789,0.9267552203460252,0.6671441531181336,0.6985324667050288
13,0.2124573882137026,0.19514459104110032,0.9243681403463024,0.9313349897679155,0.6827245102609907,0.7128924803856092
14,0.20020999171904155,0.1856767856157743,0.9285832877036586,0.9342661952280082,0.6933087556702751,0.7157785785503876
15,0.18985543136085783,0.1770908072208747,0.9322787267254028,0.9377207950400456,0.7037017568520137,0.725694443935003
16,0.18061560236981936,0.1703612460539891,0.9355511665351857,0.940135575507225,0.7124992799758911,0.733907584960644
17,0.17297712008867944,0.1634489817497058,0.9382817039496578,0.942481806402271,0.7204215150220054,0.7426215272683364
18,0.16615911685994694,0.15846265909763482,0.940750161634723,0.9443849887582738,0.7262803859370095,0.7460084282434903
19,0.16083363109401294,0.1538301605062607,0.9426604211838409,0.9461163822995362,0.7312808900220054,0.7503709640258398
20,0.15556675446884974,0.15052075053636843,0.9446397579331822,0.9473313819397794,0.7370154809951782,0.7530752909489167
21,0.1513881999041353,0.1471335108463581,0.9461141801972472,0.9487579733697362,0.7392966588905879,0.7583207212961637
22,0.14781904778310231,0.14444484924658751,0.9474101859750673,0.949732041292694,0.7434066820144654,0.7606689226933014
23,0.1446939403457301,0.14257239473935884,0.9485955573552711,0.9505394709432503,0.7461895881380354,0.7641930794104551
24,0.14234475702047347,0.14088580184257948,0.9494614497033701,0.951123434781203,0.7484318835394723,0.7641485639107533
25,0.14024833704744066,0.13953124158657515,0.950195086888219,0.9517091234021218,0.7496974366051811,0.7657696757561121
26,0.13864124749388013,0.1386018456556858,0.9507190082016321,0.952089251289388,0.7524676699297769,0.7669345033474457
27,0.13734039866498537,0.137679102902229,0.9512287528094665,0.9523448959797679,0.7526142713001797,0.7679732013971378
28,0.13655482924410275,0.1374126433944091,0.9515448242242288,0.9524493216112498,0.7539909274237496,0.7682551344235738
29,0.1360821599832603,0.13704824084654832,0.9517031193986928,0.9526515602458531,0.7549575172151838,0.7684369071935996
30,0.13565741334642684,0.13679022093613943,0.9518409850601336,0.9527580519669221,0.7538842165470123,0.7684369071935996
